student_id,weekly_self_study_hours,attendance_percentage,class_participation,lms_login_frequency,videos_watched,assignment_submission_rate,quiz_attempts,forum_activity,late_submissions_count,previous_grade,total_score,grade
S00001,13.893885590630523,82.45071229516849,6.9430656143020775,35,26,0.6531726086101638,17,7,1,A,100.0,A
S00002,7.607337298023161,66.42929751368789,0.0,29,42,0.39522480047682773,7,2,0,C,42.10515489854647,D
S00003,3.6020145102923458,76.01292307031886,3.366851826424452,21,12,0.7751396036691344,6,4,0,A,82.26488395082325,B
S00004,14.95577710143899,66.9952679423627,4.31164863850413,23,11,0.9183984528715342,23,8,2,D,100.0,A
S00005,12.59117043528569,73.2652757641764,0.5644340288977183,12,23,0.9114244452437831,11,0,2,A,66.64634496427175,C
S00006,22.10198767674686,83.73184192069559,7.682996990326284,27,26,0.5753045210030079,2,8,1,B,95.36760121310913,A
S00007,25.84992022856658,87.18788733591298,4.783969635258998,30,35,0.570976049078975,11,9,1,C,100.0,A
S00008,14.51308730020203,69.02042414977198,0.7437486242257911,30,43,0.7038000662124299,7,0,0,A,89.17432719066989,A
S00009,10.985943651323709,62.87259595660218,7.746206353106222,23,22,0.8026534866226712,10,7,0,B,86.72229564099419,A
S00010,12.664378633395039,94.10600430209334,0.0,23,24,0.6421726287060116,12,4,2,C,56.738072052674106,C
S00011,14.404432673870662,78.86325586084146,0.0,19,30,1.0,9,5,1,D,70.69251980677898,B
S00012,5.801659380045132,86.50945258059606,2.6739916821291674,27,17,0.9768031437865357,17,9,0,D,90.05737531202168,A
S00013,10.469618163177824,60.14195512303968,5.298954095262924,14,6,0.7137125949612054,4,6,0,D,83.30432240930003,B
S00014,7.915901009369211,69.1760340153508,3.9297649226954174,25,45,0.8052896322669392,16,12,1,D,89.11571363689855,A
S00015,21.254582974218483,78.89824191372635,1.2891478673657542,6,37,0.7593969346466372,11,6,0,A,92.15029424334728,A
S00016,21.779211460613112,78.39432404248312,5.524499035974414,7,45,0.9650211323028401,13,2,0,C,93.89282218621662,A
